Iteration,Inception Score
1000,1.952777827
2000,2.022147022
3000,2.325649139
4000,2.61777621
5000,2.648046775
6000,2.860078589
7000,3.079081717
8000,3.195358493
9000,3.176276405
10000,3.418400274
11000,3.49390656
12000,3.535904222
13000,3.569794928
14000,3.88097744
15000,3.892629389
16000,3.790257954
17000,4.012515628
18000,3.964989101
19000,4.043143934
20000,4.205475222
21000,4.396007334
22000,4.110568435
23000,4.254926055
24000,4.178731411
25000,4.195591522
26000,4.176706227
27000,4.327934286
28000,4.333702647
29000,4.269998065
30000,4.285999834
31000,4.371500787
32000,4.319964801
33000,4.380661176
34000,4.374048298
35000,4.343977267
36000,4.369974383
37000,4.424209551
38000,4.581926561
39000,4.506058335
40000,4.508584837
41000,4.493543348
42000,4.572077753
43000,4.518170536
44000,4.496522305
45000,4.619990086
46000,4.531900435
47000,4.510296607
48000,4.492640426
49000,4.584732545
50000,4.473601727
51000,4.608155066
52000,4.496644258
53000,4.571044499
54000,4.634943
55000,4.578629863
56000,4.703565954
57000,4.673379713
58000,4.659877075
59000,4.628941979
60000,4.592309818
61000,4.623466902
62000,4.624517004
63000,4.580440775
64000,4.768564149
65000,4.733578165
66000,4.689408127
67000,4.776366133
68000,4.735922957
69000,4.561455814
70000,4.822613787
71000,4.703487697
72000,4.713712935
73000,4.735662089
74000,4.823832954
75000,4.805126119
76000,4.748505617
77000,4.859263598
78000,4.783103805
